"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"536",1972,0,1,0,0,0,0,0,2,4
"537",1972,0,0,0,0,1,0,0,5,1
"538",1972,0,0,1,0,0,0,0,4,6
"539",1972,0,0,1,0,0,0,0,4,3
"540",1972,0,0,1,0,0,0,0,4,3
"541",1972,0,0,1,0,0,0,0,4,1
"542",1972,0,0,1,0,0,0,0,4,1
"543",1972,0,0,1,0,0,0,0,4,0
"544",1972,0,0,1,0,0,0,0,4,1
"545",1972,0,0,1,0,0,0,0,4,5
"546",1972,0,0,1,0,0,0,0,4,3
"547",1972,0,0,1,0,0,0,0,4,4
"548",1972,0,0,1,0,0,0,0,4,0
"549",1972,0,0,1,0,0,0,0,4,5
"550",1972,0,1,0,0,0,0,0,2,4
"551",1972,0,0,1,0,0,0,0,4,4
"552",1972,1,0,0,0,0,0,0,1,1
"553",1972,0,0,1,0,0,0,0,4,3
"554",1972,1,0,0,0,0,0,0,1,6
"555",1972,0,1,0,0,0,0,0,2,2
"556",1972,1,0,0,0,0,0,0,1,3
"557",1972,1,0,0,0,0,0,0,1,1
"558",1972,0,1,0,0,0,0,0,2,0
"559",1972,1,0,0,0,0,0,0,1,1
"560",1972,1,0,0,0,0,0,0,1,2
"561",1972,1,0,0,0,0,0,0,1,1
"562",1972,1,0,0,0,0,0,0,1,4
"563",1972,0,1,0,0,0,0,0,2,3
"564",1972,0,1,0,0,0,0,0,2,0
"565",1972,1,0,0,0,0,0,0,1,1
"566",1972,0,1,0,0,0,0,0,2,6
"567",1972,1,0,0,0,0,0,0,1,0
